hud_amp,tds,cons_tds,development_edp,operating_edp,hud,dev_name,program,method,type,section_8_transition_apartments,current_apartments,total_number_apartments,number_rental_rooms,avg._no._r/r_per_apartment,population_-_section_8_transition,population_-_public_housing,total_population,households_on_fixed_income,%_households_on_fixed_income,residential_buildings,non-residential_buildings,stairhalls,stories,total_area_-_sq._ft.,acres,net_dev._area_-_sq._ft.,(excluding_park)_acres,bldg._coverage_-_sq._ft.,cubage_-_cu._ft.,bldg/land_coverage_-__%,density_(population/acre),development_cost,cost_per_rental_room,avg._monthly_gross_rent,location,borough,community_district,us_congressional_district,new_york_state_senate_district,new_york_state_assembly_district,new_york_city_council_district,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management
NY005011530,153,153,263,263,NY005063,STRAUS,FEDERAL,CONVENTIONAL,NEW CONST,,267,267,"1,162.5",4.35,0,550,550,127,48.1%,2,0,2,19-20,"46,018",1.06,"46,018",1.06,"12,476","2,133,126",27.11%,519,"$5,442,401","$4,674",$564,THIRD AVE E 28TH ST SECOND AVE E 27TH ST,MANHATTAN,6,12,28,74,02,1/31/1965,,,,
NY005010970,097,097,261,261,NY005064,TAFT,FEDERAL,CONVENTIONAL,NEW CONST,,"1,463","1,470","6,597.5",4.51,0,"3,074","3,074",588,40.7%,9,1,19,19,"537,645",12.34,"537,645",12.34,"105,527","13,161,342",19.63%,249,"$28,867,029","$4,367",$539,E 112TH ST E 115TH ST PARK AVE FIFTH AVE,MANHATTAN,11,13,30,68,"08, 09",12/31/1962,,,,
NY005011270,268,127,387,259,NY005192,THOMAS APARTMENTS,FEDERAL,TURNKEY,NEW CONST (ELD),,87,87,304.5,3.50,0,96,96,75,87.2%,1,0,1,11,"9,410",0.22,"9,410",0.22,"6,641","652,000",70.57%,436,"$11,188,636","$36,744",$375,W 90TH ST AMSTERDAM AVE W 91ST ST COLUMBUS AVE,MANHATTAN,7,10,30,69,06,8/31/1994,,EXCLUSIVELY,YES,
NY005010760,266,076,389,221,NY005194,TWO BRIDGES URA (SITE 7),FEDERAL,TURNKEY,NEW CONST,,250,250,"1,251.0",5.00,0,622,622,107,42.8%,1,0,1,26,"31,735",0.73,"31,735",0.73,"13,314","2,613,000",41.95%,852,"$10,508,730","$8,414",$650,CLINTON ST SOUTH ST CHERRY ST MONTGOMERY ST,MANHATTAN,3,7,26,65,01,4/30/1975,,,,
NY005012410,343,241,757,760,NY005254,UPACA (SITE 5),FEDERAL,TURNKEY,NEW CONST (ELD),,179,200,626.5,3.50,0,204,204,147,84.0%,1,0,1,11,"63,577",1.46,"63,577",1.46,"14,325","1,434,170",22.53%,140,"$13,369,245","$19,099",$312,E 121ST ST LEXINGTON AVE E 120TH ST PARK AVE,MANHATTAN,11,13,30,68,09,7/3/1986,,EXCLUSIVELY,YES,
NY005012410,355,241,760,760,NY005281,UPACA (SITE 6),FEDERAL,TURNKEY,NEW CONST (ELD),,150,150,525.0,3.50,0,173,173,132,90.4%,1,0,1,12,"45,362",1.04,"45,362",1.04,"10,330","1,041,895",22.77%,166,"$10,240,710","$19,506",$313,E 119TH ST PARK AVE E 122ND ST LEXINGTON AVE,MANHATTAN,11,13,30,68,09,11/30/1987,,EXCLUSIVELY,YES,
NY005010060,006,006,204,204,NY005003,VLADECK,FEDERAL,CONVENTIONAL,NEW CONST,,"1,527","1,531","6,248.5",4.09,0,"2,894","2,894",711,47.1%,20,0,46,6,"566,414",13.00,"519,124",11.92,"171,144","10,617,265",30.22%,223,"$7,994,564","$1,276",$514,HENRY ST WATER ST GOUVERNEUR ST JACKSON ST,MANHATTAN,3,7,26,65,02,11/25/1940,,,,
NY005010060,007,006,371,204,NY005181B,VLADECK II,FEDERAL,CONVENTIONAL,NEW CONST,,240,240,"1,080.0",4.50,0,545,545,93,39.2%,4,0,8,6,"96,933",2.23,"96,933",2.23,"28,827","1,766,160",29.74%,244,"$1,269,490","$1,175",$545,MADISON ST CHERRY ST JACKSON ST,MANHATTAN,3,7,26,65,02,10/25/1940,1972/06/29-FED TRAN,,,
NY005010740,074,074,224,224,NY005024,WAGNER,FEDERAL,CONVENTIONAL,NEW CONST,,"2,151","2,162","10,068.5",4.68,0,"4,814","4,814",875,40.9%,22,1,22,7-16,"1,172,233",26.91,"1,083,783",24.88,"150,639","16,837,094",12.85%,179,"$32,794,423","$3,238",$536,E 120TH ST SECOND AVE E 124TH ST FDR DRIVE,MANHATTAN,11,13,30,68,08,6/12/1958,,,,
NY005000230,023,023,511,511,NY005213C,WALD,FEDERAL,CONVENTIONAL,NEW CONST,,"1,861","1,861","8,767.5",4.71,0,"3,985","3,985",785,42.5%,16,2,19,11-14,"717,071",16.46,"694,013",15.93,"133,117","14,691,881",18.56%,242,"$22,094,000","$2,561",$564,FDR DRIVE AVENUE D E 6TH ST E HOUSTON ST,MANHATTAN,3,7,26,74,02,10/14/1949,1977/07/01-ATP 1,,,
NY005010620,062,062,217,217,NY005014,WASHINGTON,FEDERAL,CONVENTIONAL,NEW CONST,,"1,515","1,515","7,053.5",4.66,0,"3,416","3,416",590,39.4%,14,1,18,"2, 12-14","906,988",20.82,"822,228",18.88,"124,916","12,618,161",13.77%,164,"$23,677,092","$3,357",$563,E 104TH ST SECOND AVE E 97TH ST THIRD AVE,MANHATTAN,11,13,29,68,08,9/20/1957,,,,
NY005013090,293,309,563,341,NY005221,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),FEDERAL,CONVENTIONAL,REHAB,,215,216,915.5,4.26,0,406,406,103,48.8%,5,0,6,5-6,"57,544",1.32,"57,544",1.32,"40,754","2,421,442",70.82%,308,"$22,610,848","$24,631",$484,W 176TH ST AMSTERDAM AVE W 177TH ST AUDUBON AVE,MANHATTAN,12,13,31,72,10,5/1/1988,,,YES,
NY005013090,523,309,756,341,NY005284B,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),FEDERAL,TURNKEY,REHAB,,88,88,391.0,4.44,0,174,174,31,36.0%,7,0,7,5,"25,086",0.58,"25,086",0.58,"18,156","1,113,273",72.38%,300,"$6,178,887","$15,823",$536,W 163RD ST W 164TH ST W 165TH ST AMSTERDAM AVE,MANHATTAN,12,13,31,"71, 72","07, 10",11/30/1987,,,,
NY005010030,329,003,382,754,NY005284A,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),FEDERAL,TURNKEY,REHAB,,14,14,63.0,4.50,0,30,30,5,35.7%,1,0,1,5,"3,946",0.09,"3,946",0.09,"3,393","179,577",85.99%,333,"$996,698","$15,821",$513,W 156TH ST BROADWAY AMSTERDAM AVE,MANHATTAN,12,13,31,71,07,11/30/1987,,,,
NY005013090,330,309,788,341,NY005228,WASHINGTON HEIGHTS REHAB PHASE IV (C),FEDERAL,CONVENTIONAL,REHAB,,32,32,129.0,4.03,0,67,67,16,51.6%,2,0,2,5,"8,593",0.20,"8,593",0.20,"6,012","323,625",69.96%,335,"$3,052,119","$23,660",$478,W 176TH ST AMSTERDAM AVE W 177TH ST AUDUBON AVE,MANHATTAN,12,13,31,72,10,10/1/1990,,,YES,
NY005013090,331,309,789,341,NY005229,WASHINGTON HEIGHTS REHAB PHASE IV (D),FEDERAL,CONVENTIONAL,REHAB,,32,32,132.0,4.13,0,60,60,15,46.9%,2,0,2,5,"8,743",0.20,"8,743",0.20,"6,127","329,815",70.08%,300,"$3,007,393","$22,783",$508,W 176TH ST AMSTERDAM AVE AUDUBON AVE,MANHATTAN,12,13,31,72,10,7/1/1990,,,YES,
NY005010090,124,112,572,539,NY005244E,WHITE,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,246,248,733.0,2.98,0,270,270,220,89.8%,1,0,1,20,"35,321",0.81,"35,321",0.81,"23,400","1,778,327",66.25%,333,"$4,305,000","$5,794",$304,E 104TH ST SECOND AVE,MANHATTAN,11,13,29,68,08,9/30/1964,1979/08/01-ATP 4,EXCLUSIVELY,,
NY005010090,112,112,539,539,NY005220J,WILSON,FEDERAL,CONVENTIONAL,NEW CONST,,398,398,"2,225.0",5.59,0,"1,250","1,250",104,26.7%,3,0,3,20,"133,188",3.06,"133,188",3.06,"22,499","3,961,200",16.89%,408,"$7,162,000","$3,219",$645,FDR DRIVE E 105TH ST FIRST AVE E 106TH ST,MANHATTAN,11,13,30,68,08,6/30/1961,1978/07/01-ATP 3,,,
NY005021270,127,127,445,445,NY005386,WISE TOWERS,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,104,397,399,"1,739.5",4.38,227,523,750,168,43.8%,2,1,5,19,"100,247",2.30,"100,247",2.30,"34,702","3,685,586",34.62%,326,"$7,774,000","$4,441",$555,W 90TH ST W 91ST ST COLUMBUS AVE AMSTERDAM AVE,MANHATTAN,7,10,30,69,06,1/31/1965,,,,
NY005011270,178,127,279,259,NY005052K,WSUR (BROWNSTONES),FEDERAL,CONVENTIONAL,REHAB,,236,236,784.0,3.32,0,329,329,103,45.0%,36,0,36,3-4-6,"67,637",1.55,"67,637",1.55,"41,422","2,308,080",61.24%,212,"$4,190,975","$4,936",$501,W 89TH & 90TH STS 91ST & 93RD STS COLUMBUS AVE CENTRAL PARK WEST,MANHATTAN,7,10,30,69,06,6/30/1968,,,,
NY005011270,151,127,259,259,NY005056,WSUR (SITE A) 120 WEST 94TH STREET,FEDERAL,CONVENTIONAL,NEW CONST,,69,70,300.5,4.36,0,145,145,19,27.5%,1,0,1,9,"22,763",0.52,"22,763",0.52,"6,811","613,400",29.92%,279,,,$671,120 W 94TH ST AMSTERDAM AVE,MANHATTAN,7,10,30,69,06,9/30/1965,,,,
NY005011270,173,127,259,259,NY005056,WSUR (SITE B) 74 WEST 92ND STREET,FEDERAL,CONVENTIONAL,NEW CONST,,168,168,735.0,4.38,0,318,318,77,47.5%,1,0,1,22,"25,176",0.58,"25,176",0.58,"13,176","1,575,535",52.34%,548,"$7,228,361","$4,167",$512,74 W 92ND ST COLUMBUS AVE,MANHATTAN,7,10,30,69,06,9/30/1965,,,,
NY005011270,174,127,259,259,NY005056,WSUR (SITE C) 589 AMSTERDAM AVENUE,FEDERAL,CONVENTIONAL,NEW CONST,,158,158,690.0,4.37,0,348,348,61,39.6%,1,0,1,18,"25,131",0.58,"25,131",0.58,"7,891","1,363,220",31.40%,600,,,$558,589 AMSTERDAM AVE W 88TH ST W 89TH ST,MANHATTAN,7,10,29,69,06,9/30/1965,,,,
NY005000260,026,026,517,517,NY005213I,ASTORIA,FEDERAL,CONVENTIONAL,NEW CONST,,"1,104","1,104","5,607.0",5.08,,"3,032","3,032",366,33.3%,22,1,22,6-7,"1,406,832",32.30,"1,151,484",26.43,"173,434","10,826,559",12.33%,94,"$14,122,000","$2,519",$593,27TH AVE 8TH ST HALLET’S COVE EAST RIVER,QUEENS,1,12,12,37,22,11/9/1951,1977/07/01-ATP 1,,,
NY005010910,091,091,240,240,NY005038,BAISLEY PARK,FEDERAL,CONVENTIONAL,NEW CONST,,381,386,"1,779.5",4.67,,947,947,143,37.7%,5,1,8,8,"325,713",7.48,"325,713",7.48,"54,504","3,529,560",16.73%,127,"$5,856,304","$3,246",$548,LIRR FOCH BLVD 116TH AVE GUY BREWER BLVD,QUEENS,12,5,"10, 14",32,28,4/30/1961,,,,
NY005001650,165,165,282,282,NY005086,BEACH 41ST STREET-BEACH CHANNEL DRIVE,FEDERAL,CONVENTIONAL,NEW CONST,,712,712,"3,106.0",4.36,,"1,622","1,622",233,33.5%,4,1,7,13,"580,000",13.31,"580,000",13.31,"66,756","6,385,727",11.51%,122,"$24,811,000","$7,988",$470,B 38TH ST B 41ST ST NORTON AVE B CHANNEL DR,QUEENS,14,5,10,31,31,11/30/1973,,,,
NY005011860,054,186,519,519,NY005213K,BLAND,FEDERAL,CONVENTIONAL,NEW CONST,,399,400,"1,850.5",4.64,,863,863,167,42.3%,5,0,5,10,"269,800",6.19,"245,785",5.64,"43,237","3,668,503",16.03%,139,"$5,925,000","$3,205",$585,ROOSEVELT AVE PRINCE ST COLLEGE POINT BLVD LIRR,QUEENS,7,6,11,40,20,5/8/1952,1977/07/01-ATP 1,,,
NY005010750,164,075,270,226,NY005073,CARLETON MANOR,FEDERAL,CONVENTIONAL,NEW CONST,,169,174,728.5,4.31,,357,357,53,31.5%,1,0,1,11,"145,011",3.33,"145,011",3.33,"14,051","1,386,194",9.69%,107,"$3,373,126","$4,498",$506,ROCKAWAY FRWY BEACH CHANNEL DR,QUEENS,14,5,10,31,31,3/31/1967,,,,
NY005010910,232,091,347,240,NY005137,CONLON LIHFE TOWER,FEDERAL,TURNKEY,NEW CONST (ELD),,214,216,701.0,3.28,,240,240,192,91.0%,1,0,1,13,"51,873",1.19,"51,873",1.19,"11,294","1,325,412",21.77%,202,"$5,835,896","$7,973",$352,170TH ST 172ND ST JAMAICA AVE 93RD AVE,QUEENS,12,5,14,29,27,3/31/1973,,EXCLUSIVELY,,
NY005010750,075,075,226,226,NY005027,HAMMEL,FEDERAL,CONVENTIONAL,NEW CONST,,710,712,"3,296.0",4.64,,"1,790","1,790",212,30.2%,14,0,14,7,"616,678",14.16,"572,678",13.15,"107,706","5,991,153",17.47%,126,"$9,618,901","$2,909",$453,B 86TH ST HAMMELS BLVD B 81ST ST ROCKAWAY BCH BLVD,QUEENS,14,5,10,31,31,4/20/1955,,,,
NY005010910,316,091,296,296,NY005241,INTERNATIONAL TOWER,FEDERAL,TURNKEY,NEW CONST (ELD),,146,159,520.0,3.56,,179,179,131,90.3%,1,0,1,10,"42,500",0.98,"42,500",0.98,"12,689","1,126,314",29.86%,183,"$10,992,764","$19,269",$383,170TH ST 90TH AVE 169TH ST JAMAICA AVE,QUEENS,12,5,14,29,27,5/31/1983,,EXCLUSIVELY,YES,
NY005011860,186,186,290,290,NY005093,LATIMER GARDENS,FEDERAL,CONVENTIONAL,NEW CONST,,423,423,"1,708.5",4.04,,792,792,217,51.3%,4,0,4,10,"167,134",3.84,"167,134",3.84,"40,077","3,430,247",23.98%,206,"$9,310,959","$5,442",$526,"34TH, 35TH AVES LINDEN PL LEAVITT ST 137TH ST",QUEENS,7,6,11,40,20,9/30/1970,,,,
NY005011860,201,186,386,290,NY005191,LEAVITT STREET-34TH AVENUE,FEDERAL,TURNKEY,NEW CONST (ELD),,83,83,272.5,3.28,,104,104,76,91.6%,1,0,1,6,"20,013",0.46,"20,013",0.46,"8,465","571,608",42.30%,226,"$2,606,744","$9,244",$309,LEAVITT ST UNION ST 34TH AVE 34TH RD,QUEENS,7,6,11,40,20,10/31/1974,,EXCLUSIVELY,,
NY005010980,051,165,573,571,NY005244F,OCEAN BAY APARTMENTS (OCEANSIDE),FEDERAL,CONVENTIONAL,NEW CONST,,417,418,"1,766.5",4.24,,837,837,140,34.0%,7,0,14,6,"354,220",8.13,"310,500",7.13,"66,101","3,931,321",18.66%,103,"$5,137,275","$2,901",$548,ARVERNE BLVD B 56TH ST BEACH CHANNEL DR B 54TH ST,QUEENS,14,5,10,31,31,2/28/1951,1979/08/01-ATP 4,,,
NY005000530,053,053,588,588,NY005271C,POMONOK,FEDERAL,CONVENTIONAL,NEW CONST,,"2,069","2,071","8,838.5",4.27,,"4,219","4,219",839,40.9%,35,0,121,3-7-8,"2,238,984",51.40,"2,083,475",47.83,"369,627","19,315,843",16.51%,82,"$21,645,342","$2,446",$563,71ST AVE PARSONS BLVD KISSENA BLVD 65TH AVE,QUEENS,8,6,16,27,24,6/30/1952,1980/10/01-ATP 7,,,
NY005005050,505,505,398,398,NY005002B,QUEENSBRIDGE NORTH,FEDERAL,CONVENTIONAL,NEW CONST,,"1,542","1,543","6,337.0",4.11,,"3,129","3,129",582,38.2%,13,1,48,6,"886,643",20.35,"689,843",15.84,"191,356","11,314,111",21.58%,154,"$6,466,805","$1,010",$556,41ST AVE VERNON BLVD 40TH AVE 21ST ST,QUEENS,1,12,12,37,26,3/15/1940,,,,
NY005000050,005,005,843,843,NY005002A,QUEENSBRIDGE SOUTH,FEDERAL,CONVENTIONAL,NEW CONST,,"1,603","1,604","6,625.5",4.13,,"3,284","3,284",610,38.7%,13,2,50,6,"1,268,298",29.12,"820,525",18.84,"198,609","11,742,973",15.66%,113,"$7,054,601","$1,057",$521,41ST AVE VERNON BLVD 41ST RD 21ST ST,QUEENS,1,12,12,37,26,3/15/1940,,,,
NY005000480,048,048,369,369,NY005184,RAVENSWOOD,FEDERAL,CONVENTIONAL,NEW CONST,,"2,164","2,166","9,134.0",4.22,,"4,278","4,278",871,40.6%,31,0,45,6-7,"1,667,814",38.29,"1,537,135",35.29,"346,053","18,107,100",20.75%,112,"$21,403,996","$2,342",$588,12TH ST 34TH AVE 24TH ST 36TH AVE,QUEENS,1,12,12,37,26,7/19/1951,1971/06/29-FED TRAN,,,
NY005000550,055,055,525,525,NY005216D,REDFERN,FEDERAL,CONVENTIONAL,NEW CONST,,599,604,"2,908.5",4.86,,"1,573","1,573",185,31.5%,9,0,16,6-7,"817,865",18.78,"726,038",16.67,"95,461","5,602,438",11.67%,84,"$9,334,000","$3,186",$506,REDFERN AVE HASSOCK ST BEACH CHANNEL DR B 12TH ST,QUEENS,14,5,10,31,31,8/28/1959,1978/02/01-ATP 2,,,
NY005011860,143,186,297,290,NY005076E,REHAB PROGRAM (COLLEGE POINT),FEDERAL,CONVENTIONAL,REHAB (ELD),,13,13,32.5,2.50,,13,13,12,92.3%,1,0,1,1,"15,000",0.34,"15,000",0.34,"9,320","115,995",62.13%,38,"$5,909,934","$4,821",$235,125TH ST 22ND AVE 126TH ST,QUEENS,7,14,11,27,19,1/31/1964,,EXCLUSIVELY,,
NY005010910,279,091,505,240,NY005203,SHELTON HOUSE,FEDERAL,CONVENTIONAL,REHAB (ELD),,153,155,475.5,3.11,,164,164,138,92.0%,1,0,1,12,"21,844",0.50,"21,844",0.50,"14,991","1,287,831",68.63%,328,"$3,615,000","$7,061",$325,162ND ST 89TH AVE 163RD ST JAMAICA AVE,QUEENS,12,5,14,32,24,10/31/1978,,EXCLUSIVELY,YES,
NY005010080,008,008,206,206,NY005004,SOUTH JAMAICA I,FEDERAL,CONVENTIONAL,NEW CONST,,448,448,"1,797.0",4.01,,841,841,144,33.9%,11,1,33,3-4,"392,989",9.02,"392,989",9.02,"82,310","2,940,659",20.94%,93,"$2,117,392","$1,182",$515,158TH ST SOUTH RD 160TH ST 109TH AVE,QUEENS,12,5,"10, 14",32,28,8/1/1940,,,,
NY005010080,066,008,220,206,NY005018,SOUTH JAMAICA II,FEDERAL,CONVENTIONAL,NEW CONST,,598,600,"2,811.0",4.70,,"1,449","1,449",166,28.3%,16,0,27,3-7,"579,217",13.30,"579,217",13.36,"116,506","5,268,542",20.11%,109,"$8,541,145","$3,030",$592,SOUTH RD 160TH ST BRINKERHOFF AVE 158TH ST,QUEENS,12,5,"10, 14",32,28,10/25/1954,,,,
NY005000330,033,033,316,316,NY005114D,WOODSIDE,FEDERAL,CONVENTIONAL,NEW CONST,,"1,355","1,357","6,321.5",4.67,,"2,858","2,858",537,40.2%,20,0,55,6,"971,398",22.30,"971,398",22.30,"186,009","10,715,226",19.15%,128,"$13,777,000","$2,251",$594,49TH ST 51ST ST 31ST AVE NEWTOWN RD,QUEENS,1,14,13,30,26,12/30/1949,1968/08/29-FED TRAN,,,
NY005000520,052,052,587,587,NY005271B,BERRY,FEDERAL,CONVENTIONAL,NEW CONST,,506,506,"2,129.0",4.21,,944,944,220,43.9%,8,1,17,6,"604,913",13.89,"511,178",11.74,"77,152","4,520,277",12.75%,68,"$5,929,376","$2,785",$511,RICHMOND RD DONGAN HILLS AVE SEAVER AVE JEFFERSON ST,STATEN ISLAND,2,11,24,63,50,10/27/1950,1980/10/01-ATP 7,,,
NY005011170,206,117,319,241,NY005122,CASSIDY-LAFAYETTE,FEDERAL,TURNKEY,NEW CONST (ELD),,378,380,"1,248.0",3.30,,439,439,323,87.8%,4,1,5,6,"224,294",5.15,"224,294",5.15,"54,589","2,858,593",24.34%,85,"$6,866,904","$5,315",$323,CASSIDY PL FILLMORE ST LAFAYETTE AVE CLINTON AVE,STATEN ISLAND,1,11,23,61,49,9/30/1971,,EXCLUSIVELY,,
NY005000770,077,077,228,228,NY005020,MARINER’S HARBOR,FEDERAL,CONVENTIONAL,NEW CONST,,606,607,"2,853.0",4.71,,"1,515","1,515",146,24.3%,22,0,32,3-6,"947,622",21.75,"816,256",18.74,"124,890","5,691,790",13.18%,70,"$8,072,855","$2,826",$488,GRAND VIEW AVE ROXBURY ST LOCKMAN AVE CONTINENTAL PL,STATEN ISLAND,1,11,23,63,49,9/3/1954,,,,
NY005010350,314,035,306,306,NY005242,NEW LANE AREA,FEDERAL,TURNKEY,NEW CONST (ELD),,276,277,996.0,3.61,,348,348,244,89.1%,1,0,2,10,"120,879",2.78,"120,879",2.78,"29,107","2,204,124",24.08%,125,"$18,511,313","$18,493",$327,LINDEN PL NEW LANE WATER FRONT TRACT,STATEN ISLAND,1,11,23,64,49,7/12/1984,,EXCLUSIVELY,YES,
NY005011170,117,117,241,241,NY005039,RICHMOND TERRACE,FEDERAL,CONVENTIONAL,NEW CONST,,488,489,"2,308.0",4.73,,"1,269","1,269",137,28.4%,6,1,7,8,"464,184",10.66,"440,715",10.12,"57,285","4,498,022",12.34%,119,"$9,551,430","$4,129",$530,JERSEY ST RICHMOND TERR CRESCENT AVE,STATEN ISLAND,1,11,23,61,49,4/30/1964,,,,
NY005010350,035,035,315,315,NY005114C,SOUTH BEACH,FEDERAL,CONVENTIONAL,NEW CONST,,421,422,"1,936.5",4.60,,891,891,183,44.1%,8,0,15,6,"708,283",16.26,"638,737",14.66,"68,084","3,921,651",9.61%,55,"$5,377,000","$2,795",$479,KRAMER ST LAMPORT BLVD REID AVE PARKINSON AVE,STATEN ISLAND,2,11,23,64,50,3/20/1950,1968/08/29-FED TRAN,,,
NY005021140,114,114,436,436,NY005383,STAPLETON,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,125,693,693,"3,358.5",4.85,355,"1,711","2,066",202,30.6%,6,1,12,"1, 8","734,857",16.87,"611,147",14.03,"76,976","6,441,281",10.47%,122,"$12,271,000","$3,654",$521,BROAD & HILL STS TOMPKINS AVE WARREN ST GORDON ST,STATEN ISLAND,1,11,23,61,49,5/31/1962,,,,
NY005000520,042,042,583,583,NY005268A,TODT HILL,FEDERAL,CONVENTIONAL,NEW CONST,,502,502,"2,174.0",4.33,,"1,005","1,005",190,38.4%,7,0,14,6,"581,056",13.34,"532,084",12.21,"79,116","4,454,900",13.62%,75,"$6,509,155","$2,994",$579,MANOR RD SCHMIDTS LA LAGUARDIA AVE WESTWOOD AVE,STATEN ISLAND,2,11,24,63,49,6/1/1950,1980/07/01-ATP 6,,,
NY005010130,116,116,242,209,NY005040,WEST BRIGHTON I,FEDERAL,CONVENTIONAL,NEW CONST,,487,490,"2,338.5",4.80,,"1,377","1,377",135,27.8%,8,1,9,8,"367,961",8.45,"367,961",8.45,"65,839","4,850,947",17.89%,163,"$9,893,117","$4,204",$543,CASTLETON AVE HENDERSON AVE ALASKA ST BROADWAY,STATEN ISLAND,1,11,23,61,49,12/31/1962,,,,
NY005010130,175,116,242,209,NY005040,WEST BRIGHTON II,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,120,144,382.0,3.18,,99,99,74,89.2%,8,0,8,1,"181,770",4.17,"181,770",4.17,"67,228","758,927",36.99%,24,"$2,825,000","$6,036",$339,CASTLETON AVE ALASKA ST BROADWAY,STATEN ISLAND,1,11,23,61,49,12/31/1965,,EXCLUSIVELY,,
